,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6,feature_feature_7,feature_feature_8
561,2248,3152,967,846,1881,3045,2814,119,1644
562,454,911,591,507,861,1974,3084,920,1144
563,2846,2446,3059,48,1777,920,224,810,1063
564,1234,3152,2355,1998,861,2297,861,920,224
565,1948,421,2029,1463,653,2668,1047,920,224
566,1550,1191,498,2750,861,1974,1047,920,224
567,2605,433,591,2628,507,861,960,659,653
568,2605,1191,2440,1832,2928,1605,48,920,1144
569,308,3152,2963,1361,861,960,1085,920,224
570,194,476,2818,846,1881,2003,920,224,810
571,515,3152,2334,653,2243,1085,920,224,810
572,2605,3152,1301,846,2987,1777,2814,119,1644
573,1521,1191,2818,861,1974,757,920,224,810
574,2846,619,2957,1938,653,210,48,920,224
575,1554,509,2029,618,653,145,1649,920,224
576,438,3152,2663,2928,2600,2282,920,224,810
577,1521,1535,2984,861,187,48,920,224,810
578,1521,1535,1081,861,2484,3164,920,224,393
579,515,1943,1936,653,1403,2919,2814,119,1644
580,1951,421,2334,653,210,2282,920,224,810
581,1521,3152,380,1472,653,784,3164,920,224
582,2605,433,1301,2323,1382,2063,920,224,810
583,1449,294,1301,653,2668,653,920,224,393
584,2665,1191,943,1247,846,815,3164,920,224
585,2605,1079,2334,653,2668,861,920,224,3097
586,2554,3152,2334,653,2668,2282,920,224,810
587,1234,3152,2984,1632,861,152,2003,2814,119
588,308,3152,1095,1832,846,673,2928,920,1144
589,194,2918,1936,3162,653,2224,2063,920,224
590,1951,165,2104,2053,653,600,2323,920,224
591,2347,1079,2334,861,468,266,2814,119,451
592,1449,2060,1909,861,425,758,2814,119,1644
593,308,3152,885,2928,80,861,920,224,3097
594,1951,2770,496,846,2987,2063,920,224,393
595,2347,509,1318,846,1582,992,2814,119,1644
596,308,3152,2121,2024,2323,2610,2323,920,224
597,1449,1535,1294,2928,1126,1777,920,224,810
598,1550,221,1274,653,1093,2063,920,224,810
599,1550,1417,937,2928,793,1085,920,1907,2185
600,1948,421,490,2323,2647,2063,920,1907,2185
601,1521,3152,1186,987,653,811,48,920,224
602,1234,3152,2984,674,653,2668,846,920,224
603,308,1301,2323,2426,846,920,1907,2185,1496
604,1951,3152,2984,1047,3164,920,224,2867,2128
605,1234,3152,2984,2928,188,1085,920,224,810
606,1521,1079,1301,653,600,2063,920,224,810
607,1951,3152,1707,798,653,1935,1649,920,224
608,308,3152,2941,1666,3084,144,1047,920,224
609,1234,3152,1294,653,1304,1777,920,1907,2185
610,2846,476,2334,846,1582,1649,920,224,810
611,1521,1191,1081,861,489,757,920,224,393
612,1726,1079,333,653,2331,48,920,224,2867
613,1550,2060,1301,653,1944,3023,920,1907,2185
614,308,3152,1294,3084,2092,3164,920,224,2867
615,1948,3152,333,653,1403,2919,2814,119,1644
616,89,2446,2334,845,861,425,2282,920,224
617,1951,3152,1274,2258,861,152,1085,920,224
618,670,2060,677,1911,2928,461,3164,920,224
619,1948,3152,2334,861,1594,2282,920,224,810
620,2554,619,1294,2315,653,2243,3023,920,224
621,308,3152,1936,1014,2928,473,3023,920,224
622,308,3152,2334,653,255,653,920,224,3097
623,2846,2446,496,861,3156,3023,920,224,810
624,1951,3152,1301,846,2999,1085,920,224,3097
625,1948,421,1936,861,425,3023,920,224,810
626,1948,421,1828,2928,2012,2282,920,224,810
627,308,3152,1294,653,2243,2063,920,224,810
628,1726,1191,1301,861,61,757,920,224,3097
629,1951,3152,2281,192,653,1304,757,920,224
630,1948,421,1301,2928,473,757,920,224,810
631,308,3152,3022,543,2928,3164,920,224,3097
632,2846,2060,496,3089,48,2063,920,224,2867
633,1948,3152,413,135,861,489,1649,920,224
634,2605,619,1936,653,2243,2063,920,224,810
635,1948,1294,861,2845,1649,920,1907,2185,2538
636,1449,378,2963,3084,861,920,1907,2185,1496
637,1951,421,1936,772,861,150,2063,920,224
638,308,3152,1936,3162,653,1304,1085,920,224
639,1951,2770,1301,1047,2236,2928,920,1907,2185
640,308,3152,2436,3084,861,920,1907,2185,47
641,2846,421,1936,2928,1671,757,920,224,2867
642,1234,3152,2121,2323,653,920,1907,2185,384
643,1121,3152,1513,2323,2658,861,920,224,2867
644,1234,3152,591,2108,2928,582,3164,920,1907
645,1948,421,1464,861,425,1174,2814,119,1644
646,308,3152,1301,2928,2878,48,920,224,810
647,1951,2770,1294,2323,2766,3164,920,224,2867
648,2665,2918,1464,2928,2198,1085,920,224,2867
649,1951,421,1464,861,1955,1085,2814,2922,1384
650,438,2770,2017,653,1304,757,920,224,810
651,1521,421,1318,2928,1929,2282,920,1907,2185
652,1550,2060,677,2405,846,3103,2063,920,224
653,308,3152,2,1938,861,2297,3164,920,224
654,454,3152,1301,1911,653,2703,2282,920,224
655,2248,911,1294,861,152,2063,920,224,810
656,308,3152,1464,1047,2076,846,920,224,810
657,308,3152,171,3169,2323,2658,1085,920,1907
658,1234,3152,2663,3123,861,736,653,920,1907
659,438,294,2663,2928,3164,920,224,2581,462
660,308,3152,2334,861,1955,3023,920,224,810
661,1948,3152,1936,3154,653,1076,1649,920,224
662,1234,3152,3091,861,213,1649,920,224,810
663,1234,3152,2,1788,861,2260,1085,920,224
664,1234,3152,2334,48,1966,3062,2814,119,451
665,1951,2770,967,1795,846,609,2063,920,224
666,308,3152,677,846,1687,2282,920,224,810
667,1951,2770,2334,861,425,1649,920,224,810
668,1948,421,1523,1472,861,2297,2063,920,224
669,2554,2060,2984,2462,861,919,1649,920,224
670,194,1535,3059,861,2297,1777,2814,119,1644
671,308,3152,1301,861,1746,1085,920,224,810
672,438,294,1513,2928,497,3164,920,224,810
673,308,3152,937,1788,861,2164,2928,920,224
674,2605,619,496,861,425,653,920,224,810
675,1948,3152,1523,135,846,1649,920,224,810
676,1951,1565,1936,861,1594,3045,2814,119,1644
677,1951,2770,2927,1014,861,1746,861,920,224
678,1550,1618,1883,798,861,2297,2928,920,224
679,2846,619,3022,2108,861,1282,2282,920,224
680,2347,1191,1547,792,861,1546,846,920,224
681,1121,2918,1936,48,1966,1314,2814,119,1644
682,308,3152,1778,861,2073,653,920,224,3097
683,1550,3152,1053,1438,861,2297,861,920,224
684,2554,216,1909,846,2410,3045,2814,119,1644
685,515,3152,2941,450,861,2763,3164,920,224
686,1234,3152,2334,846,2589,1085,920,224,810
687,308,3152,677,861,2297,3023,920,224,810
688,3068,509,2281,48,699,3023,920,224,3097
689,515,1143,1186,3089,861,2297,757,920,224
690,1550,3152,3041,87,2928,1825,1085,920,224
691,2605,2918,499,2024,861,2505,2063,920,224
692,1521,3152,1081,2799,653,2119,846,920,224
693,1234,3152,1541,653,2668,2063,920,1907,2185
694,1234,3152,2984,2700,861,489,1649,920,224
695,1234,3152,2979,3111,2928,2485,1085,920,224
696,2605,1079,499,861,2073,846,920,1144,1761
697,2554,294,2263,846,1924,510,2814,119,1644
698,1948,421,937,2928,461,2323,920,224,3097
699,2598,1535,1053,491,846,48,920,224,3097
700,1948,421,496,491,846,121,846,920,224
701,308,3152,1984,2928,3164,920,224,810,3056
702,194,1191,1883,2150,861,2427,2928,920,1144
703,515,1143,629,1407,861,2297,48,920,224
704,1948,3152,3155,1220,1872,861,2427,3084,920
705,308,2440,692,861,2073,2063,920,1144,1761
706,1234,3152,3155,961,653,2224,48,920,1144
707,1550,221,1081,861,2073,846,920,224,810
708,839,3152,87,653,2395,846,920,224,2798
709,1948,3152,1081,688,653,600,48,920,224
710,515,294,1301,653,1430,2003,920,224,810
711,515,3152,1053,1515,846,654,2928,920,224
712,2598,1079,1053,2035,861,489,3164,920,224
713,1554,2864,2687,989,653,1634,1047,920,1144
714,1234,3152,2963,798,2928,846,920,224,3097
715,438,433,3155,1220,1872,861,2297,861,920
716,308,3152,1081,861,2297,1649,920,224,810
717,308,3152,2663,688,861,2297,1649,920,224
718,2846,684,340,2024,2928,2050,3164,920,224
719,1550,3152,2984,570,653,1430,48,920,224
720,1550,3152,2436,653,1430,861,920,224,810
721,1234,3152,340,2024,2928,48,920,224,3097
722,1951,3152,516,2928,1616,3164,920,1907,2185
723,2846,2918,1541,2928,1661,3164,920,1907,2185
724,1521,421,1909,3167,653,1499,48,920,224
725,308,1081,2928,1495,757,920,224,3097,2916
726,308,1274,3084,2419,846,920,224,810,464
727,308,3152,496,653,1093,861,920,224,810
728,515,221,1541,1047,2063,920,1907,2185,1043
729,1234,3152,1294,1047,2076,3164,920,1907,2185
730,194,2060,1936,2928,1126,3023,920,224,810
731,2248,509,1301,653,2063,920,224,810,1031
732,3048,1535,1936,2323,3069,757,920,224,810
733,308,3152,2984,861,2013,757,920,224,810
734,308,3152,603,861,2845,48,920,224,810
735,2858,1417,677,653,1932,1649,920,224,810
736,1234,3152,1541,3084,846,920,1907,2185,1043
737,1521,2005,1909,2928,1126,3164,920,224,810
738,2248,509,1301,319,2323,2289,3164,920,1907
739,308,3152,1541,2928,793,861,920,224,810
740,2858,166,1541,2462,2928,1126,846,920,1907
741,515,1943,1513,861,1955,1085,920,224,810
742,3048,1191,2334,653,1932,2330,2814,119,451
743,515,294,1936,2928,1785,2003,920,224,810
744,2846,2918,1909,861,107,2003,920,224,810
745,2665,433,1464,2323,2289,1777,2814,119,1644
746,1554,1191,833,1047,1085,920,224,810,553
747,1948,421,1909,861,107,1174,2814,119,1644
748,1449,1079,1541,846,3164,920,1907,2185,1424
749,1550,1417,583,2928,2803,757,920,1907,2185
750,1449,619,357,1047,48,920,1907,2185,1043
751,2598,2446,1909,653,2580,2330,2814,119,1644
752,308,3152,333,846,2787,1281,2814,119,1644
753,2846,2060,1081,861,489,3164,920,224,3097
754,1449,2060,1936,861,2297,1085,920,224,810
755,1521,421,2281,653,600,1281,2814,119,1644
756,308,3152,1779,1194,2928,2738,2063,920,1907
757,2665,1417,2334,861,2484,2063,920,224,3097
758,89,1618,1858,861,107,1747,2814,119,2996
759,1948,421,2984,861,152,1777,2814,119,451
760,3048,2864,1909,846,3103,3062,2814,119,1644
761,2605,1535,51,1942,3109,653,2853,846,1648
762,1640,3152,2984,3125,653,1225,2063,920,224
763,2598,3152,496,861,2484,1085,920,224,3097
764,308,3152,747,477,861,2484,1174,2814,119
765,308,3152,2818,846,1881,757,920,224,3097
766,1521,1191,2334,861,213,1281,2814,119,1644
767,3048,1191,1464,861,152,691,2814,119,1644
768,1234,3152,603,861,2484,1649,920,224,810
769,308,3152,333,653,2956,2330,2814,119,1644
770,89,1417,603,861,468,3023,920,224,810
771,1234,3152,2984,846,1881,2063,920,224,810
772,308,3152,1318,846,2410,266,2814,119,1644
773,515,294,2556,1632,861,2297,1174,2814,119
774,3068,1618,2121,2928,2485,48,920,224,3097
775,2554,1417,1909,846,2410,758,2814,119,1644
776,1051,2060,499,1127,861,231,2928,920,1144
777,308,3152,516,1979,2323,2298,48,920,224
778,1951,3152,382,2781,861,231,1047,920,224
779,2347,1417,885,989,861,800,48,920,224
780,1948,3152,2255,947,861,44,861,920,224
781,1234,3152,1215,846,1389,3164,920,224,810
782,1951,421,2029,861,420,1085,920,224,810
783,1234,3152,1883,450,653,210,1047,920,1144
784,1951,3152,2984,633,861,213,1085,920,224
785,308,3152,2255,692,653,287,653,920,224
786,1234,3152,2334,265,653,2956,1085,920,224
787,1951,3152,2121,861,44,2063,920,224,3097
788,3068,1191,1538,2928,1659,3023,920,224,810
789,1951,3152,1351,680,2323,725,846,920,1144
790,1554,1713,591,2074,989,2928,1679,2636,2323
791,89,619,591,2074,1610,653,784,2063,920
792,1234,3152,2354,798,2928,1209,3084,920,1144
793,3068,509,1301,861,213,2282,920,224,810
794,1234,3152,591,2074,1610,2323,2704,2323,920
795,515,1222,2281,846,1881,1085,920,224,3097
796,438,619,1936,2928,497,1085,920,224,810
797,1234,3152,2334,2251,861,1594,2063,920,224
798,2554,378,146,2024,861,2433,3164,920,1144
799,1951,165,591,2074,989,861,800,890,1649
800,2554,294,591,2074,1610,3084,652,247,920
801,1726,1535,1513,861,152,846,920,224,810
802,308,1294,653,2243,2003,920,224,810,2604
803,1951,3152,591,989,861,800,2928,920,1144
804,1234,3152,1792,861,152,48,920,224,810
805,308,3152,591,2074,989,2323,595,2423,349
806,3048,3152,591,1841,2108,653,2853,2928,920
807,1951,2770,861,425,2063,920,224,810,553
808,1550,1417,1851,2743,861,489,846,920,224
809,1948,421,2354,2323,676,48,920,1144,1761
810,1234,3152,2556,2928,1126,2282,920,224,2867
811,1051,2060,499,3084,2928,920,224,3097,329
812,89,1535,583,2323,2766,1085,920,224,2867
813,1234,3152,885,1162,861,231,846,920,224
814,670,509,677,2928,2139,1085,920,224,810
815,1951,3152,2121,861,44,2063,920,224,3097
816,1948,421,1053,861,152,48,920,224,810
817,2347,509,2121,2715,861,2484,2323,920,224
818,1951,165,1294,2928,131,3045,2814,119,1644
819,2846,1713,2354,2358,1047,36,861,920,1144
820,3040,433,591,2074,1610,3084,652,48,920
821,1521,1535,496,385,2323,846,920,224,810
822,1550,911,496,1795,861,152,48,920,224
823,308,591,2074,989,861,800,890,3164,1494
824,1550,2060,49,2940,2024,653,126,653,920
825,1726,1417,2121,56,2928,2485,846,920,224
826,2605,509,1464,861,2845,1649,920,224,810
827,1521,1191,516,3084,2051,846,920,224,810
828,1550,1079,1936,861,213,2003,2814,119,1644
829,1550,1417,692,653,2668,2323,920,224,2798
830,1951,2770,1622,2024,2928,2351,846,920,1144
831,1051,3152,967,653,511,1649,920,224,810
832,1948,3152,1301,861,621,2063,920,224,810
833,1234,3152,2354,861,231,653,920,1144,1761
834,670,2864,2984,873,653,2243,1649,920,224
835,454,509,1909,861,107,2330,2814,119,1644
836,438,433,1464,861,44,2003,2814,119,1644
837,1234,3152,1936,40,653,2243,757,920,224
838,2554,619,2927,1999,2928,1825,2063,920,224
839,1199,3152,1523,861,213,2063,920,224,810
840,308,3152,333,653,2243,2928,920,224,810
841,515,1943,2556,2105,861,621,2282,920,224
842,308,3152,357,2928,1659,2063,920,224,810
843,1948,3152,677,2928,1659,2928,920,224,810
844,1550,1417,452,2515,653,1304,2928,920,224
845,1948,421,629,653,2668,2323,920,224,3097
846,1951,3152,2,536,861,2260,2323,920,224
847,1521,1079,2,2509,653,861,920,224,3097
848,1121,1191,2281,653,2668,2282,920,224,810
849,308,2963,798,2928,2899,861,920,224,3097
850,1234,3152,1778,2483,861,2484,1085,920,224
851,2598,2918,1381,1467,942,507,893,2675,846
852,1521,3152,496,830,653,2313,1649,920,224
853,2846,1713,1381,1467,942,507,893,2675,2928
854,1948,421,861,2484,757,920,224,810,1614
855,1234,3152,1381,1467,942,507,893,2675,861
856,839,1417,289,653,126,861,920,224,3097
857,308,3152,2387,2203,861,1320,2063,920,224
858,2347,1417,2556,653,2668,2003,920,224,810
859,2347,1417,1107,1832,861,1564,48,920,224
860,1051,2060,2212,2928,1659,1777,920,224,3097
861,308,3152,49,2940,844,2928,813,1047,920
862,1951,3152,1381,1467,942,507,893,2675,861
863,515,294,3091,3154,861,213,2063,920,224
864,2846,619,1226,507,2323,2205,653,920,224
865,2347,2918,1466,507,846,984,2928,920,1144
866,2352,1417,709,846,654,653,920,224,3097
867,1234,3152,1358,2796,653,856,653,920,224
868,1948,3152,703,507,653,2931,846,920,224
869,1234,3152,1081,1938,846,1203,48,920,224
870,1234,3152,1351,1832,861,1974,2323,920,1144
871,1234,3152,1381,1467,942,507,893,2675,846
872,839,619,289,450,861,187,1085,920,224
873,1948,421,3091,653,1304,1649,920,224,810
874,2846,2446,2281,249,861,489,3023,920,224
875,1550,1618,2908,723,507,861,1974,1085,920
876,1234,3152,1381,1467,942,507,893,2675,846
877,308,3152,917,1780,861,2073,2928,920,224
878,308,3152,1460,2595,2323,725,846,920,224
879,1948,3152,861,2484,861,920,224,810,972
880,308,3152,1399,846,1687,1174,920,224,810
881,308,3152,2122,348,846,2987,3164,920,224
882,308,3152,496,846,1881,757,920,224,3097
883,1234,3152,2300,961,2928,2518,2323,920,1144
884,1948,3152,28,1374,861,489,1649,920,224
885,515,165,865,2024,861,2484,846,920,224
886,1948,3152,49,507,2928,2518,2928,920,1144
887,308,3152,1399,846,3103,3164,920,224,810
888,1234,3152,496,846,1372,2282,920,224,810
889,308,3152,1229,507,861,3164,920,224,2798
890,2248,911,1381,1467,942,507,893,2675,2323
891,3048,2060,2212,48,102,2330,2814,119,451
892,1554,619,943,450,846,673,861,920,224
893,1234,3152,1081,186,861,1974,48,920,224
894,2605,684,2640,861,152,48,920,224,810
895,438,1222,1226,507,861,1114,2928,920,224
896,454,1535,1381,1467,942,507,893,2675,861
897,1951,3152,1381,1467,942,507,893,2675,861
898,515,221,1513,653,2668,1649,920,224,3097
899,1449,1222,1513,653,1304,1649,920,224,810
900,1948,3152,1381,1467,942,507,893,2675,861
901,1550,3152,49,844,846,3003,3001,2928,920
902,3040,1535,2498,861,2484,48,920,224,3097
903,1133,1417,1351,1551,653,210,349,920,1144
904,1133,1713,2307,1872,846,673,861,920,1144
905,1234,3152,1460,2286,2323,2004,3164,920,224
906,1521,1079,2281,861,152,3023,920,224,810
907,438,1222,289,2673,861,2433,3164,920,224
908,2846,476,333,846,3103,1085,920,224,810
909,2598,911,1820,507,653,210,861,920,224
910,1948,421,466,798,861,1974,846,920,224
911,1051,3152,1460,2024,846,759,846,920,224
912,308,2498,1873,653,2668,2282,920,224,810
913,2858,433,3155,656,653,359,861,920,1144
914,1234,3152,2300,1832,861,1114,846,920,1144
915,308,3152,1381,1467,942,507,893,2675,846
916,1521,1535,496,846,1881,653,920,224,810
917,1951,3152,3155,1220,844,861,1114,1047,920
918,1234,3152,1433,2928,2485,846,920,224,810
919,1051,1191,3055,653,2668,2063,920,224,810
920,1051,2918,629,846,815,846,920,224,3097
921,1521,1535,428,116,861,1974,1047,920,224
922,1234,3152,2556,861,1621,3164,920,224,810
923,2605,509,1381,1467,942,507,893,2675,653
924,2347,221,3155,2272,2024,861,1974,2928,920
925,1234,3152,1520,861,468,653,920,224,2798
926,308,3152,3059,861,213,2919,920,224,810
927,2069,1191,1229,507,2323,2610,2928,920,224
928,2347,1222,1081,861,2484,2323,920,224,810
929,2858,2864,1381,1467,942,507,893,2675,861
930,1948,3152,629,87,846,1881,2323,920,224
931,2605,433,2307,1077,653,359,653,920,1144
932,308,49,198,2024,2928,2518,2928,920,1144
933,1234,3152,2908,723,844,846,3003,2063,920
934,2846,307,2300,961,653,210,48,920,1144
935,515,1143,496,653,2224,3164,920,224,810
936,308,1883,1832,2323,1501,48,920,1144,1761
937,308,3152,1538,861,2484,3164,920,224,3097
938,1121,294,1883,861,2484,3084,920,1144,1761
939,1550,1191,428,2759,861,1114,2928,920,224
940,2598,3152,1538,1187,861,152,2063,920,224
941,308,3152,968,846,673,846,920,224,3097
942,2605,1222,1466,2024,861,1974,861,920,1144
943,308,3152,1381,1467,942,507,893,2675,861
944,1521,1535,2085,2094,861,1114,710,653,920
945,1951,421,1081,385,861,1974,653,920,224
946,2605,911,2300,656,846,673,247,920,224
947,2069,1417,3091,2928,2012,3164,920,224,810
948,1951,3152,3155,1832,861,1974,349,920,1144
949,1234,3152,1465,861,213,653,920,224,3097
950,1948,3152,1624,2673,861,1974,3164,920,224
951,3048,2770,496,688,861,1974,48,920,224
952,2846,3152,496,861,1974,2928,920,224,3097
953,1521,3152,3128,861,745,861,920,224,810
954,1951,2770,1351,450,2928,2145,3164,920,1144
955,2347,2142,1624,1832,861,1114,48,920,224
956,308,3152,3055,846,1649,920,224,2867,518
957,2858,509,2593,846,759,1649,920,224,3097
958,308,3152,917,2306,846,673,48,920,224
959,2248,2918,2307,204,861,1974,861,920,1144
960,1234,3152,2702,16,653,359,653,920,1144
961,1951,3152,2387,861,1974,1085,920,224,3097
962,515,1222,3128,1817,846,252,2063,920,224
963,454,1417,2593,2156,2323,2004,48,920,224
964,1948,421,496,861,621,846,920,224,810
965,308,2104,2306,48,372,3164,920,224,2867
966,194,1191,496,2404,861,919,1649,920,224
967,308,3152,496,1324,2928,1659,846,920,224
968,308,2024,846,1881,48,920,224,3097,1812
969,1051,1191,1381,1467,942,507,893,2675,861
970,1948,3152,1016,1360,861,2484,2928,920,224
971,1234,3152,1460,861,2433,846,920,224,3097
972,1521,3152,289,861,1114,48,920,224,3097
973,1133,509,2281,2323,3069,846,920,224,810
974,1948,1565,496,2323,2658,48,920,224,810
975,1948,3152,2281,633,861,489,2282,920,224
976,308,3152,1081,48,765,3023,920,224,3097
977,2858,294,49,2940,844,861,1114,2086,2323
978,2858,2060,2627,846,1372,1777,920,224,810
979,1726,1222,3055,846,1372,48,920,224,810
980,2846,619,1523,861,489,1649,920,224,810
981,1951,421,496,589,861,1190,846,920,224
982,2846,3152,1466,507,2323,2205,2928,920,1144
983,1521,1535,496,1233,861,489,653,920,224
984,3068,1079,3055,653,210,846,920,224,3097
985,1948,421,3155,1120,653,359,2323,920,1144
986,2069,1535,1351,2094,861,2427,2323,920,1144
987,515,1222,496,861,489,861,920,224,3097
988,2605,619,496,653,600,757,920,224,810
989,1051,2465,1736,861,2073,861,920,224,810
990,1234,3152,1520,116,861,48,920,224,810
991,1051,2918,1226,1060,653,126,653,920,224
992,308,1513,846,759,2282,920,224,810,1302
993,1449,1535,3059,861,489,3164,920,224,2867
994,1550,3152,861,213,861,920,224,810,3142
995,1234,3152,861,1437,48,920,224,810,970
996,1234,3152,289,1361,2928,3164,920,224,2798
997,1550,3152,2090,2094,653,2726,2928,920,224
998,3048,619,3128,861,1974,757,920,224,3097
999,515,3152,496,861,213,3164,920,224,3097
1000,2248,1191,49,844,861,1114,2086,1649,920
1001,1234,3152,1798,653,359,2928,920,224,3097
1002,2554,1417,1107,861,1974,861,920,224,3097
1003,1234,3152,865,861,1615,846,920,224,810
1004,1521,1079,1334,861,2325,2928,920,224,810
1005,2665,619,1047,3164,920,224,810,85,1108
1006,1121,1417,861,1974,48,920,224,810,972
1007,839,1417,2281,2928,131,757,920,224,810
1008,308,3152,1081,861,2297,2928,920,1144,1761
1009,1726,1191,1081,1911,653,2668,48,920,224
1010,1234,3152,3155,1775,2928,2836,757,920,1144
1011,1521,3152,1466,2750,861,1974,1047,920,224
1012,1948,1565,2927,861,468,1649,920,224,3097
1013,1948,3152,2300,2141,861,1974,653,920,1144
1014,1234,3152,496,846,48,920,224,810,734
1015,1951,2770,1229,507,653,1957,861,920,224
1016,308,3152,1381,1467,942,507,893,2675,2928
1017,1234,3152,1513,846,1881,1085,920,224,3097
1018,308,3152,2300,1775,2928,813,349,920,1144
1019,1948,3152,2593,2024,861,1974,247,920,1144
1020,1234,3152,2281,861,2297,3164,920,224,810
1021,1948,3152,2085,2859,1832,653,1634,861,920
1022,2554,1417,1520,2992,861,1320,653,920,224
1023,1234,3152,3059,846,1203,2282,920,224,810
1024,515,221,1513,873,846,1881,1649,920,224
1025,1234,3152,1778,767,653,1740,2282,920,224
1026,2554,1222,656,861,1320,846,920,224,810
1027,3040,1417,1466,1629,2323,2610,2928,920,224
1028,194,216,2281,861,2297,1085,920,224,810
1029,1234,3152,2307,656,846,2987,861,920,224
1030,2846,684,1334,846,654,861,920,224,2798
1031,1948,3152,1358,1463,861,2124,2063,920,224
1032,1951,2770,49,2940,2394,653,2322,349,920
1033,1948,421,1984,2141,861,1320,846,920,224
1034,1951,2770,1081,1005,861,2484,1085,920,224
1035,1948,1565,2281,846,654,2282,920,224,3097
1036,1951,421,1381,1467,942,507,893,2675,653
1037,1449,433,496,1515,846,1203,846,920,224
1038,3040,3152,1381,1467,942,507,893,2675,653
1039,515,3152,1523,2928,1659,2063,920,224,810
1040,1234,3152,1736,861,2073,2928,920,224,3097
1041,1234,3152,1778,702,861,2164,1649,920,224
1042,1948,3152,709,846,673,861,920,224,3097
1043,1051,2918,1081,2700,653,2668,757,920,224
1044,1234,3152,1334,653,1225,1649,920,224,810
1045,1948,421,3058,3084,366,3084,920,224,3097
1046,2605,1222,3155,1220,680,861,1114,861,920
1047,308,3152,2300,1832,653,2322,2323,920,1144
1048,1951,421,1107,2203,2323,2004,846,920,224
1049,2352,1222,49,198,2024,861,1564,846,920
1050,3040,509,507,653,2103,48,920,224,2798
1051,1234,3152,917,450,2928,48,920,224,3097
1052,1449,3152,2281,2928,497,349,920,224,810
1053,1051,294,496,846,759,1085,920,224,3097
1054,1554,433,627,846,759,653,920,224,3097
1055,308,3152,2927,772,653,600,757,920,224
1056,1554,2464,3140,507,653,524,48,2814,119
1057,2248,1191,1381,1467,844,861,1114,1995,861
1058,308,3152,1381,1467,942,507,893,2675,846
1059,308,3152,496,861,2845,2063,920,224,3097
1060,1234,3152,496,2323,2658,2063,920,224,3097
1061,2598,3152,2908,723,844,861,1114,710,1047
1062,1948,3152,1381,1467,942,507,893,2675,1047
1063,2248,2918,2281,1047,1383,846,920,224,810
1064,1449,2464,3128,570,846,2987,1649,920,224
1065,308,3152,1381,1467,942,507,893,2675,846
1066,515,3152,2104,861,2297,846,920,224,3097
1067,1948,421,917,1127,861,1974,846,920,224
1068,1234,3152,1381,1467,942,507,893,2675,2928
1069,194,1535,653,2668,48,920,224,810,2101
1070,1234,3152,865,656,846,861,920,224,3097
1071,2069,1191,1465,653,2668,48,920,224,3097
1072,1948,421,3059,772,653,1740,2063,920,224
1073,308,3152,1513,861,152,48,920,224,810
1074,1234,3152,1381,1467,942,507,893,2675,2928
1075,1234,3152,703,1361,653,1225,861,920,224
1076,1550,1618,507,653,3164,920,224,2798,1642
1077,1521,1191,496,861,489,757,920,224,3097
1078,1948,3152,1523,861,152,2063,920,224,3097
1079,1121,3152,496,1472,861,213,1085,920,224
1080,1449,294,352,861,2297,653,920,1144,1906
1081,2347,378,1107,2024,861,2433,653,920,224
1082,1234,3152,2122,87,861,1974,653,920,224
1083,1234,3152,1081,2716,861,152,846,920,224
1084,515,1222,49,844,861,1114,2086,653,920
1085,2846,2060,1081,1202,846,673,3164,920,1144
1086,2347,1222,1016,1938,861,1974,846,920,224
1087,1948,3152,2212,861,152,1649,920,224,810
1088,515,165,2090,861,1320,2063,920,224,3097
1089,1521,1191,496,2994,861,2484,757,920,224
1090,1234,3152,3091,2700,846,1881,1649,920,224
1091,1234,3152,3059,861,213,2919,2814,119,1644
1092,2347,2446,3155,1220,2094,653,1634,247,920
1093,2665,1191,3128,653,2668,48,920,224,810
1094,2605,2465,1523,87,861,3049,1085,920,224
1095,1234,3152,507,846,673,2323,920,224,2798
1096,1234,3152,1016,2323,1426,1047,920,224,2798
1097,194,2446,1229,1463,653,2528,2323,920,224
1098,839,1191,1381,1467,942,507,893,2675,861
1099,1234,3152,3140,656,3084,1273,1047,920,224
1100,1234,3152,333,653,2243,2003,920,224,810
1101,1234,3152,2281,861,1437,2063,920,224,810
1102,1951,421,629,3084,1273,653,920,224,3097
1103,2248,1191,2702,2666,2928,578,3164,920,1144
1104,1948,3152,1466,507,2928,2518,2928,920,224
1105,308,3152,1508,507,846,673,653,920,224
1106,515,221,1274,861,152,757,920,224,3097
1107,515,2142,1107,861,2433,653,920,224,810
1108,308,3152,2957,1978,653,856,1649,920,224
1109,1948,421,2281,861,152,2063,920,224,810
1110,1234,3152,2300,807,846,1500,48,920,1144
1111,1234,3152,1513,633,846,3103,1649,920,224
1112,1133,3152,1229,507,861,1114,2928,920,224
1113,2846,3152,49,2940,2394,846,3003,2063,920
1114,308,3152,496,861,2484,48,920,224,2867
1115,2347,166,1229,1463,2928,2518,861,920,224
1116,308,3152,3058,1832,861,1974,846,920,224
1117,1951,2770,2908,723,844,861,1114,710,2928
1118,308,3152,1358,2024,1047,1026,653,920,224
1119,1951,2770,1513,154,653,2044,2282,920,224
1120,1234,3152,709,653,861,920,224,810,1614
1121,308,2281,1769,2323,2289,757,920,224,810
1122,1948,421,1624,1832,2928,239,3164,920,224
