,nodes,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8
5326,6494,1640,3152,967,861,1955,1085,920,224,810
5355,1808,1948,3152,1936,2928,2546,2003,920,224,810
5358,441,1234,3152,1936,40,653,2243,757,920,224
5365,3083,2347,1222,1016,1938,861,1974,846,920,224
5403,2213,1521,1191,2334,861,213,1281,2814,119,1644
5406,1373,2605,1222,3058,116,2323,2610,653,920,224
5414,762,194,1191,829,692,2323,2610,2928,920,224
5416,3496,1234,3152,1351,1832,861,1974,2323,920,1144
5417,6054,1948,3152,1053,2323,1963,846,920,1907,2185
5445,4766,2598,1191,2122,519,2323,1818,1047,920,224
5449,3458,2605,2464,2927,861,489,2063,920,224,2867
5465,618,2554,1417,2300,807,653,359,1047,920,1144
5487,6192,2248,294,2334,653,2243,1047,920,224,810
5490,1255,2554,1417,1016,1086,2928,892,846,920,224
5498,2788,3040,509,496,1331,2928,473,349,920,224
5499,403,2554,619,1513,653,2243,861,920,224,810
5502,147,1948,1565,3059,735,861,2089,3045,2814,119
5504,1610,515,3152,1381,1467,942,507,893,2675,653
5513,6165,1234,3152,1523,2405,861,489,1085,920,224
5518,87,515,3152,1381,1467,942,507,893,2675,2323
5526,3520,2554,3152,452,653,1403,3164,920,224,810
5540,4523,2846,2464,2192,1141,653,1569,2063,920,1907
5588,912,1948,1565,2963,653,1569,48,920,224,810
5592,700,2554,476,2334,653,811,3164,920,224,810
5600,4067,308,1301,2323,2658,2063,920,224,810,1614
5629,776,308,3152,3155,2272,1077,861,1974,48,920
5662,877,2347,2918,333,2928,2012,1085,920,224,810
5682,5001,1550,421,2121,2562,861,231,2063,920,224
5706,6955,2846,3152,2281,2315,861,152,3023,920,224
5717,4197,308,3152,498,2521,2928,2738,1047,920,224
5760,3370,1234,3152,1053,237,653,2243,653,920,224
5796,2872,1234,3152,452,653,1499,1649,920,224,810
5801,3209,2846,1713,2140,861,2089,510,2814,119,1644
5803,2507,2846,1713,2281,1394,846,759,1085,920,224
5805,2284,1948,3152,2984,653,2668,861,920,224,810
5811,464,3040,619,2307,1832,653,2528,846,920,224
5819,6059,1951,3152,1909,861,152,2919,920,224,810
5831,1382,308,3152,3059,846,2410,1281,2814,119,1644
5834,3855,1234,3152,2281,861,2297,3164,920,224,810
5836,1374,1948,421,1508,507,861,2493,2063,920,224
5864,1401,1951,2770,90,861,2484,2003,920,224,810
5875,2719,89,1079,1909,846,2410,1174,2814,119,1644
5897,5365,839,619,1301,2928,473,1649,920,1907,2185
5906,2883,308,3152,496,1911,2928,461,48,920,224
5907,5338,1951,2770,452,653,2331,1085,920,224,810
5909,6419,1951,3152,2387,861,1974,1085,920,224,3097
5914,4143,2248,1535,1274,653,2243,2282,920,224,810
5921,5417,1234,3152,2556,861,1621,3164,920,224,810
5931,1350,1234,3152,1081,2992,861,1974,653,920,1144
5938,1481,1948,3152,1909,861,2089,2003,920,224,810
5939,3108,1951,421,2984,3154,861,213,2063,920,224
5941,5842,1234,3152,2263,48,266,2814,119,1644,2131
5942,3746,308,2104,2306,48,372,3164,920,224,2867
5965,1059,308,3152,333,846,2787,1281,2814,119,1644
5972,2396,1234,3152,591,2628,989,2323,595,2423,846
5975,914,2598,3152,496,861,2484,1085,920,224,3097
5988,6042,194,509,1081,2483,846,1687,2928,920,224
5991,4711,839,1417,2281,2928,131,757,920,224,810
6020,3996,2554,2060,1464,861,1955,1085,920,1907,2185
6025,1848,515,2142,2323,676,653,920,224,810,3142
6086,4949,1521,1191,2025,846,2744,1314,2814,119,1644
6102,6459,1948,1565,2334,1217,846,1122,1649,920,224
6103,1355,308,3152,496,846,2410,3164,920,224,810
6105,93,2554,294,2263,846,1924,510,2814,119,1644
6109,605,2347,378,1798,861,2073,653,920,224,3097
6135,1537,2846,3152,3022,861,2484,2063,920,224,3097
6155,3001,308,3152,2300,1832,653,2322,2323,920,1144
6187,5854,3048,2864,1523,846,759,2003,2814,119,451
6188,4889,2846,2918,516,861,2063,920,1907,2185,3137
6194,4187,1550,3152,1301,653,2243,1085,920,1907,2185
6198,2275,1951,2770,2334,1894,653,2243,1085,920,224
6212,724,1234,3152,496,846,1203,3164,920,224,810
6226,5315,1133,1535,1909,3167,861,425,2282,920,224
6262,6328,1951,3152,3155,1220,844,861,1114,1047,920
6271,544,1521,3152,1351,2394,846,3003,653,920,1144
6280,4152,2846,421,1301,861,44,48,920,1907,2185
6285,1583,1521,1079,2963,597,2928,2731,1649,920,224
6291,1039,308,3152,1301,1657,1047,2939,3164,920,224
6303,3076,308,3152,677,861,420,2928,920,1907,2185
6306,6733,515,221,937,653,2668,846,920,224,810
6360,2756,2554,165,1513,2053,861,152,1085,920,224
6382,416,1133,2060,2121,653,210,653,920,224,810
6385,5110,515,3152,1513,846,3121,1085,920,224,3097
6408,3709,89,1417,496,653,600,757,920,224,810
6411,2061,1234,3152,2556,861,107,2330,2814,119,1644
6416,1563,1948,3152,1107,1873,653,359,48,920,224
6420,2049,194,216,2281,861,2297,1085,920,224,810
6423,2447,1234,3152,2263,48,992,2814,119,1644,667
6445,6985,1234,3152,1792,1515,653,210,2063,920,224
6449,2352,1234,3152,333,653,1539,1281,2814,119,1644
6463,1423,2248,1535,49,844,861,1114,2086,861,920
6466,3213,515,3152,2121,1617,653,1430,3164,920,224
6480,557,308,3152,2957,1515,861,2323,920,224,810
6483,713,3040,2770,1513,1394,861,2124,1085,920,224
6484,1701,89,433,1294,1232,653,2243,846,920,1907
6491,119,1948,421,629,2253,846,673,846,920,224
6495,563,308,3152,2104,846,121,3164,920,224,2798
6500,360,1234,3152,2334,2928,188,1649,920,224,810
6503,5200,1521,1535,3022,2928,495,48,920,224,3097
6531,3465,308,3152,1513,1515,861,2484,846,920,224
6547,6358,2846,476,2334,846,1582,1649,920,224,810
6561,768,1133,294,968,653,524,2003,920,224,3097
6585,4748,2554,166,967,2315,861,213,757,920,1907
6600,6320,89,433,2927,861,152,653,920,224,3097
6613,2934,1234,3152,2556,861,2845,2282,920,224,810
6629,2577,1121,1535,1778,861,489,2928,920,224,3097
6636,2177,1948,3152,1081,688,653,600,48,920,224
6640,2987,1051,2446,937,2928,473,2063,920,224,3097
6648,2832,670,1222,1464,2928,497,3023,920,224,810
6655,6992,1234,3152,2963,2418,3084,861,920,224,810
6672,719,308,3152,1464,861,213,2003,920,224,810
6697,4194,1234,3152,2963,798,861,44,3164,920,224
6702,3243,308,3152,1936,2928,1659,1085,920,1907,2185
6708,1327,1951,3152,2,653,2668,2928,920,224,3097
6732,105,2554,294,2387,861,110,2928,920,224,810
6737,5577,1726,1079,333,653,2331,48,920,224,2867
6739,2566,3068,221,2818,846,3121,846,920,1907,2185
6742,168,1948,421,1883,807,2323,2527,846,920,1144
6745,5329,308,3152,2122,348,846,2987,3164,920,224
6755,1055,1234,3152,1465,846,654,3023,920,224,3097
6756,2437,2846,2060,1082,385,861,1701,653,920,224
6781,2680,1234,3152,1301,207,2323,2070,1649,920,1907
6783,615,2605,1191,1523,653,210,1649,920,224,810
6820,484,2846,2918,516,319,2323,2658,48,920,1907
6822,2107,1234,3152,1936,1412,2928,473,2282,920,1907
6827,2186,1948,3152,1909,2323,2897,861,920,224,810
6841,2179,1951,3152,1909,653,1093,1174,2814,119,1644
6848,4935,1234,3152,3059,861,2297,2919,2814,119,1644
6855,2895,2858,3152,2818,846,1881,2063,920,224,810
6862,1346,2598,2060,638,2053,846,673,846,920,224
6893,2755,2347,166,679,861,231,1649,920,1907,1612
6895,6800,2605,421,2300,2024,653,359,861,920,224
6915,5631,1948,421,967,653,2891,48,920,224,810
6933,3833,1234,3152,2355,1998,861,2297,861,920,224
6963,4087,1951,3152,1318,2323,1734,691,2814,119,1644
6974,3832,2554,619,1301,135,861,213,2282,920,224
6976,815,2846,3152,861,621,1649,920,224,2867,1108
6977,1322,1051,2918,496,861,468,1649,920,224,810
6985,3842,1234,3152,496,236,861,213,1649,920,224
6995,1685,1234,3152,49,2940,507,861,2433,2323,920
7000,773,89,1417,1351,842,861,1114,2086,349,920
7006,2997,308,333,861,107,3062,2814,119,1644,667
7019,3065,1948,3152,1294,2323,676,846,920,224,810
7037,2967,1948,421,1984,2141,861,1320,846,920,224
7038,5466,308,3152,1274,861,1955,1085,920,224,810
7056,4287,1951,2770,1301,1047,2236,2928,920,1907,2185
7064,1488,1948,3152,3155,1220,1872,861,2427,3084,920
7065,401,1051,294,3091,861,2484,1777,2814,119,451
7069,1869,89,294,333,861,1594,3045,2814,119,1644
7073,58,3048,1417,1523,846,759,2282,920,224,3097
7074,5833,1449,2005,1936,2171,861,2611,653,920,224
7081,1304,1951,3152,1508,507,846,3003,3084,920,224
7095,789,1051,433,956,798,653,2668,2323,920,224
7098,904,1449,2770,3155,1220,844,846,3003,2928,920
7099,1312,670,1191,865,1463,861,1974,1085,920,224
7119,5696,1521,1222,3047,1650,989,846,2639,1058,48
7121,1065,1234,3152,1381,1467,942,507,893,2675,2323
