,feature_feature_0,feature_feature_1,feature_feature_2,feature_feature_3,feature_feature_4,feature_feature_5,feature_feature_6
778,46,711,745,4595,4647,12239,17640
779,0,2,10,13,25,46,145
780,45,46,861,940,6067,9166,11672
781,159,251,796,1031,1894,2264,2819
782,10,91,184,394,604,705,935
783,14,168,464,587,848,3816,7819
784,0,10,20,24,32,35,58
785,112,431,437,467,494,499,763
786,5,10,12,13,25,80,411
787,357,504,587,802,863,940,950
788,25,31,68,70,76,106,159
789,45,46,68,532,675,806,841
790,45,175,222,251,347,373,697
791,6,13,16,25,58,97,103
792,352,382,505,508,569,860,1244
793,24,793,910,940,1458,1511,2871
794,2,12,20,159,167,181,296
795,10,218,527,569,613,806,822
796,2,25,68,210,251,263,569
797,373,1193,1507,2539,2672,4489,15252
798,538,1339,1593,3641,3831,3895,4469
799,2,61,263,515,935,1220,1264
800,0,194,388,850,1043,1230,1465
801,13,46,68,70,76,86,96
802,2,73,251,373,705,1314,2264
803,46,174,224,236,251,302,382
804,258,263,375,538,941,1128,1223
805,1886,1887,3233,4856,6627,9517,11185
806,221,251,675,795,840,1043,1069
807,382,1208,1411,1768,1899,2123,3416
808,10,13,14,25,68,74,80
809,13,258,940,1301,2846,4417,5671
810,0,6,10,25,76,112,179
811,10,12,16,95,97,159,190
812,80,594,749,1128,2655,4397,4563
813,1,6,14,45,68,181,205
814,2,10,14,25,76,220,540
815,44,364,382,508,587,621,663
816,13,675,1454,1768,1917,3544,4189
817,25,96,109,122,156,165,168
818,0,10,25,263,352,388,504
819,10,170,382,407,450,569,585
820,207,618,817,835,1284,2925,5400
821,0,93,152,165,178,265,278
822,15,138,204,251,278,451,505
823,304,435,635,1115,1127,2035,2105
824,588,794,2128,3411,10231,15007,19726
825,0,10,62,80,108,395,508
826,184,411,515,675,794,795,796
827,6,25,45,258,382,436,569
828,2920,3587,4678,7430,10179,11708,16200
829,2,25,304,372,538,587,638
830,6,18,25,28,71,76,145
831,179,263,705,710,942,1128,1135
832,14,280,352,940,1840,3683,5065
833,150,505,566,1662,2687,7381,7809
834,659,1454,1945,2257,2364,3101,3189
835,76,101,172,278,352,365,553
836,222,1128,2534,8029,8574,11536,12533
837,538,587,863,1024,1514,3149,3699
838,25,46,220,681,697,1135,1768
839,1252,1496,4579,4686,6289,7072,7109
840,538,11285,11934,15138,18678,23110,23621
841,0,6,10,20,49,62,80
842,60,68,138,220,232,263,1063
843,6,1894,3474,4106,15234,17198,20737
844,635,940,1224,2109,2263,2986,3031
845,835,992,1662,1695,1923,2925,3499
846,0,13,14,31,76,101,119
847,6,179,238,635,701,822,894
848,219,1035,1043,3164,7479,8080,9235
849,1687,4132,5886,7760,7809,9625,11028
850,2,12,31,46,230,231,251
851,109,138,2928,3107,5629,7510,7518
852,263,411,705,1135,1280,1733,2723
853,25,194,279,376,701,806,1311
854,263,744,794,1135,2555,3476,4099
855,538,618,940,950,1831,2017,2529
856,13,25,251,382,388,398,525
857,2539,2846,4132,6552,8029,9657,10128
858,96,174,236,382,590,626,679
859,0,5,6,13,25,76,122
860,2,5,6,138,159,174,220
861,25,76,101,213,231,404,464
862,108,110,112,431,604,770,802
863,25,153,246,364,382,505,508
864,0,13,578,579,593,756,813
865,0,5,6,10,25,174,246
866,2988,5806,11206,26640,27066,27270,29109
867,25,11266,13732,15455,23173,26332,30083
868,2,8,12,68,83,184,222
869,6,16,60,74,109,154,181
870,2,5,25,172,199,251,265
871,2,12,68,70,231,246,263
872,1,2,12,15,45,61,70
873,116,388,523,589,760,769,770
874,269,390,593,620,1252,1436,1894
875,32,49,79,87,110,136,251
876,0,2,5,10,12,13,25
877,0,218,240,251,382,388,794
878,675,4267,8404,9294,10892,13677,15906
879,2,5,25,68,88,131,174
880,675,1313,1314,1855,3686,4173,5158
881,382,756,1046,1510,1713,2312,7208
882,12,106,122,159,162,173,184
883,238,559,783,1988,2408,3260,3593
884,16,49,91,108,224,395,398
885,0,6,10,12,16,49,61
886,2715,6027,7836,7999,8114,9046,9174
887,240,969,1046,1507,1897,2302,2898
888,181,304,540,786,1120,1791,1885
889,326,530,775,959,1336,1760,1824
890,81,108,112,604,661,770,794
891,775,1297,1336,2502,3125,12787,15854
892,84,122,169,178,184,207,248
893,220,230,235,246,263,411,632
894,2282,3034,7113,9301,10022,17821,18251
895,1758,4239,4297,6553,14466,18261,29045
896,0,1,10,13,25,31,106
897,112,113,398,437,498,852,1253
898,538,786,816,1135,1534,1801,1945
899,0,80,110,113,116,140,169
900,195,1046,1213,1307,3895,5999,6056
901,675,1358,1542,2081,2579,6474,7373
902,0,25,112,204,315,382,388
903,0,13,88,106,174,239,364
904,63,90,138,145,278,318,505
905,505,7630,10678,12102,12999,13795,14886
906,73,258,454,523,711,2340,3050
907,2,12,42,61,90,109,138
908,2,9,25,30,71,73,74
909,10,213,251,510,523,574,675
910,28,103,2425,3406,3698,4076,5846
911,2,12,61,68,70,73,109
912,7,269,368,382,661,2178,6000
913,10,49,62,87,108,112,174
914,90,172,296,395,2161,3019,3051
915,48,205,332,360,366,392,395
916,293,796,1352,2123,2258,2553,2821
917,2,12,35,49,61,87,110
918,13,49,81,106,112,246,263
919,2,12,73,134,729,1135,2562
920,153,12042,15197,16929,18493,20772,24410
921,35,138,153,251,414,454,505
922,68,2259,7575,7980,12925,14712,15487
923,2,16,42,95,97,112,156
924,83,131,240,293,1135,1899,2352
925,12,16,32,42,49,63,138
926,2,12,32,35,60,78,97
927,61,62,73,505,681,729,2489
928,681,729,7957,10680,12476,13683,13804
929,138,153,251,505,525,1101,1717
930,16,32,42,49,153,251,729
931,0,10,32,74,108,170,174
932,0,368,431,512,578,661,795
933,81,87,108,110,112,315,325
934,12,16,32,35,61,83,95
935,13,25,258,269,398,941,1128
936,49,63,82,84,87,88,90
937,0,10,32,61,63,78,83
938,13,49,218,273,366,368,382
939,12,32,63,109,138,153,220
940,10,16,35,49,73,80,120
941,2,12,49,79,81,87,108
942,49,87,2002,3939,5040,7308,21593
943,84,87,94,387,505,3935,4184
944,12,28,49,87,431,525,594
945,42,109,505,523,4301,5202,7896
946,10,63,162,163,184,204,795
947,12,893,3034,12999,13295,29307,30337
948,10,12,13,49,61,87,94
949,108,120,505,509,675,729,1088
950,505,1101,1264,3050,7239,12737,16929
951,28,120,258,432,505,680,1010
952,2,10,12,49,81,87,108
953,0,1,13,25,62,71,80
954,0,2,7,10,12,13,16
955,0,2,76,82,94,108,174
956,12,61,90,120,258,311,387
957,2,12,16,49,61,68,83
958,7,13,80,87,269,431,437
959,16,97,251,505,7378,10385,10680
960,3328,3406,6164,7768,10609,12028,13795
961,2,10,12,13,16,32,34
962,174,353,387,599,609,892,900
963,16,95,505,523,1884,4531,4717
964,3328,7768,8784,9178,9301,13350,19708
965,0,16,32,42,49,63,82
966,2,12,73,263,1135,2130,3306
967,382,390,431,453,482,538,587
968,153,523,711,7548,7929,9466,10882
969,505,2003,3442,3660,3851,5040,7630
970,454,523,2002,6581,7929,8349,10571
971,12,16,42,61,73,80,95
972,505,1252,5040,5274,9301,12999,13496
973,153,1101,5193,5842,7896,7957,8779
974,10,12,32,81,84,87,88
975,10,12,73,96,505,675,764
976,0,108,112,388,398,493,500
977,267,453,2499,5832,6016,10350,14945
978,278,594,938,1639,3870,5408,10661
979,2002,3936,5027,5404,9301,9530,9910
980,2834,6942,7106,9960,11078,12999,13158
981,5,9,12,25,42,71,76
982,12,13,49,87,108,156,169
983,16,25,99,109,368,523,524
984,109,153,505,523,1785,3245,9301
985,0,7,82,364,382,388,398
986,12,94,138,167,181,194,220
987,16,32,35,138,200,251,552
988,6,7,13,80,84,106,181
989,120,1043,3628,3660,4930,5842,7929
990,0,184,218,321,398,527,697
991,81,108,112,174,431,632,868
992,174,3432,3433,4452,4618,7951,9543
993,49,385,387,398,556,832,1095
994,12,80,87,108,388,3126,3863
995,25,84,174,218,273,391,398
996,0,25,80,251,900,1263,1534
997,76,86,110,188,398,554,802
998,14,94,364,464,578,635,830
999,13,25,94,267,269,388,540
1000,0,395,661,832,1095,2002,2040
1001,538,925,1024,1042,1262,1428,1482
1002,110,114,116,640,893,896,1237
1003,0,25,81,83,174,432,434
1004,7,10,49,81,82,84,106
1005,12,16,35,42,49,83,84
1006,12,49,87,108,174,251,505
1007,0,164,174,251,254,301,348
1008,25,61,235,269,1128,1264,1717
1009,112,431,1000,1320,1338,1432,2311
1010,63,95,138,153,190,220,454
1011,8,12,35,73,83,84,87
1012,153,178,200,351,395,396,451
1013,2,12,16,35,42,60,61
1014,16,73,109,138,153,454,488
1015,12,13,110,132,140,352,423
1016,81,496,594,620,644,770,916
1017,0,32,49,81,91,108,138
1018,0,2,10,12,13,16,32
1019,62,81,108,110,112,398,422
1020,0,12,13,87,108,246,251
1021,2,304,505,675,2882,5040,7779
1022,2,12,13,35,61,87,88
1023,505,681,1264,6816,7955,25514,27612
1024,61,414,8784,11058,11976,12999,15197
1025,269,382,398,2002,2003,2377,3660
1026,258,263,505,523,675,4880,7008
1027,0,7,13,32,82,174,239
1028,6,7,10,13,80,87,88
1029,12,1063,1264,1768,1910,3803,5040
1030,230,368,376,467,663,1208,1841
1031,0,6,7,10,13,15,32
1032,113,251,395,562,775,1449,1801
1033,7,10,25,80,94,156,174
1034,114,116,395,790,806,1022,1666
1035,10,2002,4297,5531,5792,9910,10042
1036,7,13,15,16,80,87,88
1037,81,108,202,496,620,868,1081
1038,120,179,505,832,2481,3727,3939
1039,2,25,108,156,832,9301,10365
1040,138,181,220,325,832,1101,2002
1041,12,16,35,42,61,95,98
1042,3328,6164,8784,11169,11359,11974,12999
1043,12,61,179,3409,3814,5040,5089
1044,100,138,172,190,251,278,1220
1045,5,7,62,82,87,108,112
1046,2,6,25,31,60,145,159
1047,42,63,204,301,414,454,505
1048,32,35,86,91,220,325,454
1049,12,81,153,505,729,1865,2490
1050,13,35,49,61,87,108,112
1051,0,108,202,395,661,786,1758
1052,82,110,112,392,498,501,646
1053,12,25,32,35,42,61,63
1054,9,16,42,63,71,73,76
1055,156,194,210,220,272,325,351
1056,108,112,644,868,1976,2398,4620
1057,110,112,431,437,498,500,604
1058,7,9,12,81,106,108,110
1059,110,113,306,1156,1663,1959,2891
1060,49,5040,5066,5777,6691,7874,8028
1061,174,398,675,1095,1230,4354,6056
1062,0,32,49,90,109,110,137
1063,7,25,120,174,222,263,301
1064,2,5,167,675,843,1043,1208
1065,49,63,87,96,505,675,729
1066,87,431,1237,1264,1501,1801,1962
1067,49,82,84,87,88,91,269
1068,2,10,12,16,42,49,71
1069,81,156,163,512,594,2002,2282
1070,2,5,61,63,76,80,94
1071,12,16,505,1101,1264,1713,8028
1072,711,9368,10439,10778,13521,14262,14886
1073,1,108,112,153,210,432,813
1074,110,1237,2467,4005,10878,13596,14825
1075,12,153,523,8349,13753,18351,21342
1076,0,1,10,12,13,32,67
1077,13,156,218,275,382,388,464
1078,1,6,14,49,71,87,94
1079,120,832,1095,1159,1264,1717,2877
1080,10,49,82,84,87,108,112
1081,7,12,32,42,63,87,108
1082,16,35,42,61,96,138,414
1083,3660,4579,10457,18261,21743,22793,22882
1084,16,32,49,87,95,97,153
1085,153,2002,4301,7548,7929,9466,18493
1086,12,49,87,138,251,275,318
1087,12,1063,1740,6899,10385,10680,13222
1088,2,12,16,61,87,97,251
1089,6,16,32,87,95,138,153
1090,81,87,398,594,620,7929,8113
1091,13,49,80,81,84,87,88
1092,16,32,505,512,729,832,1264
1093,0,5,13,174,368,392,515
1094,2,12,16,32,35,42,49
1095,10,49,82,87,91,108,153
1096,126,138,153,220,251,523,5408
1097,16,35,49,82,87,138,153
1098,0,32,49,82,138,153,505
1099,0,2,35,61,97,109,275
1100,2,12,16,35,61,87,95
1101,95,120,140,505,680,1082,1264
1102,49,251,706,1101,1348,2002,2405
1103,12,16,63,67,82,87,95
1104,2,71,90,138,168,222,251
1105,61,120,414,505,2536,5842,7050
1106,0,32,49,81,87,90,95
1107,16,87,251,414,505,661,1264
1108,0,7,13,59,80,174,269
1109,138,200,204,301,523,874,1063
1110,7207,10571,11264,11304,11359,15388,18257
1111,10,169,174,328,368,390,515
1112,136,138,151,153,220,1713,2581
1113,10,49,112,156,184,395,432
1114,5,80,94,218,251,269,365
1115,25,90,218,395,877,1135,1348
1116,0,2,25,62,73,106,122
1117,1095,4165,8454,9910,14817,15752,15756
1118,35,251,505,675,832,10365,10892
1119,7,12,49,82,87,101,251
1120,12,35,87,251,462,505,786
1121,87,97,505,656,2742,3050,5274
1122,2,12,61,376,505,675,693
1123,12,395,4664,13795,14886,18493,23199
1124,10,81,94,108,174,278,388
1125,84,87,94,269,315,365,389
1126,7,13,49,80,81,88,94
1127,77,80,88,94,113,495,512
1128,172,368,505,508,807,1737,5040
1129,49,790,3380,3551,4032,4475,4758
1130,120,179,304,464,1352,2882,3409
1131,90,1264,7378,9533,12381,13496,16244
1132,432,546,1806,2315,3696,4943,5221
1133,90,4305,11097,18019,18395,20173,29116
1134,2,49,91,95,153,204,220
1135,90,109,454,729,4261,4577,5155
1136,12,35,61,396,729,888,2269
1137,0,79,90,505,594,620,675
1138,2,12,61,82,311,414,516
1139,523,729,3050,5842,7929,9301,10102
1140,12,25,95,177,246,301,505
1141,174,368,399,431,452,593,786
1142,158,167,2173,2834,7347,8113,9520
1143,0,32,49,87,138,153,251
1144,0,2,9,10,12,13,16
1145,174,251,325,414,1033,3050,5040
1146,0,49,82,87,138,269,325
1147,116,422,499,589,594,812,1022
1148,0,10,80,81,87,90,94
1149,2,12,16,32,35,42,49
1150,2,12,16,35,49,61,62
1151,0,13,49,81,82,87,110
1152,12,95,109,112,138,153,251
1153,2,12,95,153,505,569,681
1154,61,87,88,97,138,176,178
1155,0,10,62,108,172,395,544
1156,2,16,35,42,95,138,505
1157,49,87,88,91,120,153,174
1158,414,452,505,1304,3328,8516,14224
1159,2,12,16,35,61,76,87
1160,32,42,153,2002,4384,4812,6027
1161,174,1378,3453,6718,7005,7008,7575
1162,35,42,120,488,1264,1665,2002
1163,32,49,90,98,109,174,251
1164,0,2,12,13,16,32,35
1165,12,63,81,83,87,94,108
1166,16,95,97,232,505,1063,6016
1167,7,10,14,94,174,184,218
1168,49,81,87,325,387,432,2002
1169,97,109,301,414,505,729,1101
1170,0,87,90,91,94,95,112
1171,0,218,794,796,806,808,2377
1172,32,49,138,153,7957,8028,8033
1173,49,174,218,620,675,794,806
1174,1785,1806,3297,4689,12048,20689,21867
1175,458,4385,4579,5040,5207,7957,12999
1176,16,42,95,97,109,414,514
1177,25,587,697,794,1023,1320,1601
1178,16,42,61,96,138,140,251
1179,213,697,2122,2898,2899,2937,30258
1180,12,25,95,222,325,414,432
1181,174,231,1063,1178,3226,3442,3806
1182,32,109,138,153,505,1063,1074
1183,0,505,512,661,1114,2002,2238
1184,0,2,10,12,13,49,80
1185,32,49,138,153,251,325,451
1186,404,813,940,953,1204,1252,1309
1187,9,150,210,213,218,301,505
1188,0,7,10,49,84,87,106
1189,16,35,505,508,2349,2721,4267
1190,16,464,1095,1264,2002,5040,5777
1191,724,2282,3660,4366,5274,5669,7200
1192,108,368,661,796,3660,10119,15575
1193,169,184,786,836,1528,1894,2621
1194,16,4261,4323,7843,7916,10365,11560
1195,25,81,94,109,138,181,325
1196,0,7,80,81,87,109,110
1197,2,12,16,35,61,73,95
1198,2,12,73,98,376,505,3393
1199,2,12,16,35,73,120,505
1200,2,5,13,35,49,76,246
1201,2,12,35,49,73,82,87
1202,12,25,67,87,95,97,98
1203,7,758,2002,3034,9301,11303,14332
1204,0,95,97,109,138,181,251
1205,108,110,112,368,432,594,1668
1206,16,95,2367,7568,10997,14335,14785
1207,220,251,325,505,675,729,5040
1208,6,594,1378,2183,3226,8359,17796
1209,2,9,12,16,61,73,80
1210,87,88,91,184,327,382,389
1211,2,14,28,80,156,176,204
1212,63,80,96,138,163,167,178
1213,81,87,90,108,112,325,594
1214,675,2882,5040,6023,6129,7613,14043
1215,5,7,12,13,49,80,87
1216,10,12,73,80,88,94,110
1217,84,174,178,368,382,431,510
1218,0,2,7,10,12,13,15
1219,87,106,169,365,391,398,525
1220,753,1481,2482,4547,7064,7896,8349
1221,12,174,786,3034,3324,5274,19934
1222,108,325,505,620,675,2002,5777
1223,12,80,87,385,387,414,505
1224,32,49,95,138,153,263,269
1225,0,7,12,13,28,94,174
1226,0,12,13,25,62,63,80
1227,12,16,25,32,42,60,61
1228,0,10,13,87,112,174,365
1229,12,34,120,179,304,523,1012
1230,81,82,84,87,88,110,112
1231,2,12,32,61,82,376,505
1232,0,108,301,351,368,388,395
1233,32,63,188,200,272,325,387
1234,2,12,16,32,35,49,60
1235,523,1024,1063,7548,7872,9466,16373
1236,13,32,49,81,84,88,91
1237,5,16,2010,4192,7919,8516,9043
1238,108,145,194,220,395,505,806
1239,2,12,16,35,49,61,82
1240,2,13,15,32,35,42,49
1241,12,49,81,84,87,174,315
1242,2,12,16,32,35,49,63
1243,0,10,13,25,32,49,84
1244,505,729,8204,12999,13683,18906,21342
1245,2,222,1264,7929,8349,8516,9301
1246,5,210,263,675,1150,1264,1910
1247,25,80,84,87,88,108,110
1248,63,109,120,172,204,251,278
1249,12,16,35,49,61,80,84
1250,3840,5613,7938,8549,9530,14347,21034
1251,108,112,174,269,431,437,453
1252,35,90,108,153,204,251,505
1253,13,67,273,368,388,398,431
1254,49,81,87,88,108,110,112
1255,49,61,87,120,385,414,505
1256,16,95,109,222,368,505,1063
1257,832,4877,5529,5716,6240,11560,14000
1258,54,604,2002,6513,7761,12343,20493
1259,81,87,91,325,385,505,523
1260,7,87,106,398,422,494,498
1261,9,13,25,120,222,365,414
1262,8,10,71,76,382,398,422
1263,841,1183,4165,5040,5777,10932,20280
1264,5,9,10,71,76,156,201
1265,174,178,794,1023,1046,1113,1160
1266,251,382,1189,5777,6019,7308,27879
1267,2,12,88,94,110,154,239
1268,0,218,388,395,569,806,1190
1269,108,110,112,251,274,620,763
1270,0,110,174,325,382,390,467
1271,1,10,12,49,80,91,94
1272,675,2749,4977,5777,20490,21342,21625
1273,508,559,1820,5040,5696,7732,8606
1274,6015,7896,15352,18257,19361,27469,27756
1275,32,87,108,432,632,868,1156
1276,4,6,389,599,609,769,1097
1277,12,15,16,61,78,81,87
1278,109,178,213,348,351,407,451
1279,12,25,94,188,382,407,431
1280,5707,10892,11250,15596,17606,18455,23783
1281,1046,5859,13041,20721,27215,28066,28462
1282,87,108,325,395,398,594,2002
1283,2,12,16,32,35,42,49
1284,156,210,975,1603,2178,3034,3187
1285,25,86,1365,2344,6037,6609,7929
1286,349,1230,1542,1760,1785,2023,3677
1287,893,2489,7582,10892,21800,25089,27008
1288,194,278,458,523,874,1713,2749
1289,87,138,167,251,278,387,451
1290,108,110,523,7548,9466,15674,16167
1291,0,63,90,172,251,325,395
1292,6,7,9,12,13,15,25
1293,2,12,32,35,42,60,61
1294,0,108,251,303,395,481,1342
1295,2,42,76,167,251,254,263
1296,61,138,1436,2153,4323,5274,5842
1297,10,63,110,488,693,716,4147
1298,2,12,35,61,83,87,138
1299,42,4165,6240,8614,15202,23199,28156
1300,2,12,42,63,78,97,138
1301,81,711,1264,4769,10157,12014,13753
1302,10,90,387,512,594,659,661
1303,32,437,505,508,544,794,1264
1304,87,675,7499,8028,8135,10385,10571
1305,2,12,32,49,61,87,95
1306,25,80,84,87,120,174,251
1307,32,49,87,91,108,327,398
1308,1768,6226,6255,8028,8548,19701,21342
1309,505,594,7872,12680,14831,21342,22242
1310,5,156,170,181,269,314,317
1311,16,32,95,153,414,505,523
1312,174,269,729,2002,17589,26757,28032
1313,76,80,94,318,382,464,508
1314,87,113,269,368,392,398,432
1315,12,16,32,35,87,91,95
1316,12,414,505,523,675,1264,2514
1317,12,61,83,86,97,204,251
1318,505,5040,6015,8516,10621,12604,14002
1319,12,49,73,81,90,112,251
1320,12,94,146,153,414,523,729
1321,12,32,87,91,112,251,505
1322,81,108,395,525,620,868,7168
1323,0,10,82,84,87,96,108
1324,0,12,84,87,110,112,113
1325,758,2096,3069,3660,4560,24247,30559
1326,49,62,81,94,108,110,112
1327,42,63,83,120,278,311,523
1328,0,2,12,16,35,61,73
1329,61,84,505,523,574,938,1378
1330,2,12,13,49,61,73,80
1331,0,2,13,84,90,138,275
1332,2,12,16,61,87,95,97
1333,90,505,6000,10365,10680,11380,12028
1334,10,12,32,63,84,87,95
1335,120,505,675,4220,4943,5040,7768
1336,16,251,485,3245,10540,10680,11058
1337,12,35,63,83,87,134,153
1338,2,12,16,120,138,200,222
1339,523,711,3553,7412,8675,9301,10252
1340,12,13,32,42,49,63,76
1341,414,488,505,729,2173,6458,7308
1342,153,1101,2742,4302,7826,7836,7896
1343,2,12,68,73,136,246,258
1344,138,414,564,5040,7630,10102,14552
1345,12,16,35,87,91,95,138
1346,2,61,68,92,98,112,251
1347,12,61,82,414,675,724,729
1348,12026,12610,13231,15938,16381,17831,21824
1349,96,1095,2097,4679,5193,5842,7064
1350,2,8,12,13,32,42,60
1351,12,35,61,398,414,1264,20875
1352,818,2173,3051,7347,7443,8113,8127
1353,0,10,12,13,25,49,88
1354,2,12,16,32,35,49,61
1355,12,16,32,35,42,61,95
1356,81,83,222,523,697,1101,2909
1357,2,16,32,98,108,120,311
1358,0,2,10,12,16,25,32
1359,60,138,505,552,10678,10892,11058
1360,153,1264,9248,11380,12999,13753,13804
1361,13,32,49,84,87,108,153
1362,488,505,656,8028,11189,20483,24811
1363,10,12,49,81,87,106,108
1364,16,120,153,505,1264,1304,3034
1365,12,16,95,138,414,523,4192
1366,663,864,1526,2377,4488,5077,6007
1367,2040,2382,13512,19361,21625,25101,30032
1368,12,63,138,414,505,523,1355
1369,140,251,351,414,505,564,724
1370,6,9,12,80,87,278,395
1371,16,35,42,73,87,109,138
1372,251,505,523,852,1074,3164,4385
1373,42,49,91,136,138,269,505
1374,648,1033,1627,1820,1983,2028,2499
1375,16,95,97,505,523,1063,2269
1376,12,61,153,505,681,729,1264
1377,83,95,97,454,505,593,681
1378,105,138,153,1063,2002,2219,2482
1379,2,12,25,35,61,83,92
1380,2,12,73,80,2330,2377,2514
1381,10,49,81,108,112,139,156
1382,7,10,12,16,35,82,87
1383,2,12,16,35,73,81,90
1384,16,42,63,83,138,220,505
1385,10,12,25,49,87,96,156
1386,1063,1264,1304,3324,4677,4717,7548
1387,49,61,87,97,1101,8033,10571
1388,2,12,16,32,35,61,95
1389,28,94,4302,7768,10638,20058,23633
1390,2,8,9,12,35,42,61
1391,1,10,49,62,81,84,87
1392,7957,13795,20441,24214,26267,27958,28156
1393,108,138,150,505,770,814,832
1394,32,49,120,174,368,392,431
1395,12,45,156,251,505,508,832
1396,12,138,146,251,315,398,505
1397,269,315,464,3050,3325,5777,6129
1398,6,13,80,94,159,163,275
1399,7,49,71,80,84,91,94
1400,1,7,12,16,49,61,76
1401,194,609,882,893,1127,1223,1244
1402,13,80,106,113,174,325,327
1403,12,32,42,60,63,81,87
1404,10,12,16,42,49,60,87
1405,7,14,365,497,508,512,527
1406,35,505,5989,15374,18308,20482,21071
1407,0,2,12,42,60,90,97
1408,12,82,87,120,251,325,368
1409,91,959,1063,7957,12737,16929,18182
1410,32,49,63,81,91,95,108
1411,49,81,82,91,146,184,325
1412,83,6770,7128,10385,10698,15197,17881
1413,12,505,729,1101,1264,5643,6870
1414,7,16,32,42,49,63,82
1415,0,82,398,1002,1101,1952,2002
1416,1910,8887,10350,13626,14293,15120,15138
1417,2,32,84,325,729,4301,7957
1418,35,61,153,12028,13804,20772,28760
1419,0,5,7,12,13,16,25
1420,12,13,16,25,49,61,82
1421,2173,5274,7896,9864,12085,13901,14312
1422,13,106,108,110,156,620,661
1423,0,385,398,556,665,758,794
1424,87,110,325,398,453,512,523
1425,5,10,220,395,594,620,764
1426,108,112,156,184,251,351,395
1427,15,31,90,159,172,382,388
1428,0,1,2,5,6,7,10
1429,61,110,122,364,452,711,872
1430,90,108,251,729,1095,1264,2202
1431,675,7180,7575,12042,19171,19395,24602
1432,498,562,806,1282,1753,2059,2435
1433,87,90,108,174,336,387,398
1434,32,120,138,153,454,505,642
1435,120,1717,1884,3328,4943,8894,13289
1436,0,2,12,16,25,35,49
1437,9,10,12,16,49,67,82
1438,35,98,131,258,320,345,597
1439,16,32,35,42,78,97,109
1440,73,220,414,505,2536,3409,3939
1441,5,108,158,174,220,223,388
1442,15,32,42,63,74,81,109
1443,2,5,9,12,13,59,61
1444,49,81,84,87,108,110,112
1445,0,10,663,756,864,2405,3238
1446,0,2,5,10,12,13,15
1447,25,112,181,389,431,437,569
1448,10,80,87,218,246,251,258
1449,12,16,35,90,95,99,108
1450,12,16,35,49,81,109,153
1451,2,12,83,95,97,109,138
1452,133,251,303,304,313,333,454
1453,87,179,269,1264,1801,1910,1962
1454,12,97,414,2482,5040,5751,11058
1455,16,95,109,153,505,3442,4547
1456,15,42,63,109,153,167,251
1457,276,1191,8033,10676,11063,12014,12028
1458,5,109,172,251,264,269,318
1459,28,42,78,91,97,120,200
1460,0,12,32,35,42,87,91
1461,12,16,35,49,87,153,251
1462,0,2,6,10,12,15,16
1463,0,10,12,90,108,112,163
1464,0,79,81,91,106,108,112
1465,986,2315,7716,8114,11734,13628,15286
1466,3333,5859,7803,8302,10093,12324,15770
1467,35,83,97,99,103,145,178
1468,9,12,16,42,86,138,153
1469,108,387,525,808,813,1097,1962
1470,1,12,25,76,94,156,181
1471,112,184,499,510,589,1237,2000
1472,2877,3330,5473,5510,6342,7146,7628
1473,80,81,112,174,315,325,398
1474,67,110,112,306,389,868,959
1475,94,4497,6015,11260,12452,13356,14312
1476,28,81,87,110,493,499,975
1477,12,16,42,49,63,87,138
1478,49,1264,1717,2877,3472,5065,5090
1479,49,325,387,398,432,868,893
1480,16,42,73,105,109,153,454
1481,25,167,220,251,278,505,523
1482,9,25,80,94,124,156,169
1483,13,25,87,94,269,832,1801
1484,42,3023,5186,6770,7548,7872,9466
1485,9,12,80,90,414,505,508
1486,95,505,666,681,1884,2482,3050
1487,12,32,42,49,63,87,138
1488,61,94,376,787,937,1063,7378
1489,87,108,505,3918,5562,7890,7929
1490,2202,2762,3432,3435,4267,4452,6232
1491,0,12,13,80,82,138,258
1492,2,7,16,25,35,49,67
1493,108,222,382,400,512,578,599
1494,0,1,2,7,12,13,14
1495,0,108,505,675,2490,2698,6540
1496,12,49,81,94,251,315,392
1497,49,122,174,364,382,398,525
1498,153,220,269,505,523,550,2482
1499,153,278,3050,8349,9577,10680,13498
1500,110,113,389,431,3660,4165,4355
1501,1952,3245,3409,3851,6164,7047,7929
1502,12,13,80,110,174,267,269
1503,10,49,62,81,108,110,112
1504,5274,5842,10710,14552,24112,25514,28763
1505,84,87,108,246,325,398,620
1506,16,35,90,325,414,505,556
1507,2,12,16,35,95,222,251
1508,414,523,729,1865,10680,11734,14827
1509,12,42,95,120,251,278,296
1510,81,96,251,278,395,398,508
1511,12,16,32,35,49,61,63
1512,1074,2219,4769,10571,11058,18220,18911
1513,174,2002,2377,9530,11740,20493,26967
1514,10,49,81,87,112,120,174
1515,505,832,2482,5408,10678,14126,21305
1516,90,138,153,2219,3423,5186,5408
1517,349,697,1886,1945,3496,4943,5408
1518,81,90,304,514,4301,5408,5842
1519,80,505,5040,8784,10119,14126,14232
1520,897,2882,3087,4301,8346,8886,10385
1521,10,74,88,106,128,174,251
1522,81,646,731,790,1090,1736,2982
1523,6,10,76,94,174,388,505
1524,432,505,1264,1884,2499,4297,5040
1525,7,34,99,105,122,167,172
1526,12,398,1264,3245,4192,5842,7444
1527,81,114,380,831,959,980,1395
1528,184,2981,4686,6023,7425,8114,10011
1529,153,432,505,523,659,1189,2479
1530,0,2,15,25,42,61,94
1531,2,12,16,35,42,49,61
